user_id,age,lead_status_score,payment_history_good,time_spent_min,pages_viewed,emails_sent,follow_up_emails,email_intensity,form_submissions,downloads,ctr_product_page,response_time_hours,social_media_engagement,engagement_score,is_mobile,is_tablet,is_desktop,is_organic_lead,is_email_lead,is_referral_lead,is_social_lead,converted_to_paid
1,60,2,1,46,6,10,3,13,2,3,0.8,11,54,124,1,0,0,1,0,0,0,0
2,27,1,0,42,8,6,2,8,1,1,0.4,23,35,98,0,1,0,0,1,0,0,0
3,21,0,1,56,11,1,0,1,5,3,0.5,8,34,133,0,1,0,0,1,0,0,0
4,37,0,1,24,15,6,3,9,1,1,0.7,10,59,118,0,1,0,1,0,0,0,0
5,35,2,1,39,14,10,5,15,1,3,0.5,13,35,111,0,0,1,0,1,0,0,0
6,34,2,0,56,9,6,7,13,3,3,0.8,15,23,112,0,0,1,0,0,1,0,0
7,28,0,1,17,10,2,2,4,0,3,0.6,17,119,162,0,0,1,0,0,0,1,0
8,26,0,0,25,3,8,1,9,0,3,0.1,13,48,85,0,1,0,0,0,1,0,0
9,54,2,0,28,14,10,3,13,5,2,0.7,16,188,263,0,1,0,0,0,0,1,0
10,25,1,0,17,14,2,2,4,1,1,0.6,14,155,205,0,0,1,0,0,1,0,0
11,57,1,1,39,14,5,4,9,1,1,0.4,13,120,192,1,0,0,0,0,1,0,0
12,47,0,0,10,6,2,7,9,3,1,0.3,22,41,74,0,0,1,0,0,0,1,0
13,22,1,0,5,8,0,1,1,1,0,0.1,11,46,70,0,1,0,1,0,0,0,0
14,21,0,0,30,15,7,4,11,3,2,0.2,15,149,222,0,0,1,0,0,1,0,0
15,25,0,1,32,5,7,4,11,3,1,0.3,17,110,163,1,0,0,0,0,1,0,0
16,33,0,1,30,9,1,10,11,5,1,0.4,23,101,166,0,0,1,1,0,0,0,0
17,34,1,0,10,2,3,10,13,3,1,0.3,19,94,119,1,0,0,0,1,0,0,0
18,52,1,1,16,9,9,8,17,3,2,0.1,4,116,163,0,1,0,0,1,0,0,0
19,58,2,1,40,13,6,8,14,3,3,0.7,7,92,173,1,0,0,0,0,1,0,0
20,21,1,0,55,12,5,7,12,1,3,0.5,6,52,140,0,1,0,0,0,0,1,0
21,55,0,1,11,5,5,8,13,1,3,0.6,14,37,67,0,1,0,0,0,1,0,0
22,32,2,1,60,15,4,4,8,1,2,0.1,14,115,212,0,0,1,0,0,0,1,1
23,54,0,1,29,3,8,5,13,0,1,0.3,10,90,127,0,1,0,0,1,0,0,0
24,46,0,1,22,7,8,9,17,5,1,0.3,21,176,229,1,0,0,0,1,0,0,0
25,34,1,1,12,2,7,8,15,2,2,0.7,6,130,156,0,0,1,1,0,0,0,0
26,48,2,1,19,8,4,1,5,3,3,0.2,9,20,70,0,0,1,0,1,0,0,0
27,57,1,0,16,14,4,8,12,1,2,0.7,15,95,146,0,0,1,0,1,0,0,0
28,37,0,0,60,3,8,3,11,4,2,0.5,3,122,204,0,1,0,0,1,0,0,0
29,20,0,0,49,10,1,2,3,3,0,0.6,15,111,189,0,0,1,1,0,0,0,0
30,30,2,0,6,4,6,2,8,4,0,0.5,4,121,147,0,1,0,0,0,0,1,0
31,47,2,1,41,2,5,0,5,3,3,0.1,19,22,82,0,0,1,0,0,1,0,0
32,41,2,1,49,15,4,5,9,1,2,0.6,24,182,268,0,1,0,0,0,1,0,0
33,37,1,1,48,14,3,9,12,5,1,0.7,5,37,130,0,1,0,0,1,0,0,0
34,29,1,1,56,11,2,8,10,2,0,0.3,3,186,270,0,1,0,0,0,0,1,0
35,33,0,0,30,2,10,2,12,4,3,0.4,7,39,91,0,1,0,0,0,0,1,0
36,41,2,1,18,10,10,8,18,3,0,0.8,17,51,98,0,1,0,0,0,1,0,0
37,26,0,0,60,11,8,6,14,2,3,0.3,2,174,268,1,0,0,0,0,0,1,0
38,25,2,1,45,4,1,9,10,1,0,0.2,19,176,232,0,0,1,0,0,0,1,0
39,44,1,1,54,6,10,5,15,2,1,0.7,15,102,176,0,0,1,1,0,0,0,0
40,26,1,1,25,14,9,2,11,1,3,0.1,3,192,254,0,0,1,0,1,0,0,0
41,42,0,1,39,4,6,4,10,1,1,0.7,17,82,134,0,1,0,1,0,0,0,0
42,42,2,1,57,9,8,2,10,0,2,0.4,7,67,146,0,1,0,1,0,0,0,0
43,58,1,1,49,15,4,7,11,5,0,0.3,2,31,125,0,1,0,0,0,1,0,0
44,36,2,1,53,9,0,5,5,1,1,0.4,3,179,255,1,0,0,0,0,0,1,0
45,22,2,0,34,9,2,10,12,4,2,0.3,5,132,200,1,0,0,0,0,0,1,0
46,49,2,1,54,10,7,2,9,2,1,0.1,12,38,120,1,0,0,0,0,0,1,0
47,54,2,0,41,12,3,4,7,3,1,0.5,12,128,204,0,1,0,0,1,0,0,0
48,27,0,0,14,3,10,8,18,1,3,0.7,8,79,108,0,1,0,0,0,1,0,0
49,44,1,1,58,3,8,0,8,0,1,0.7,7,99,165,1,0,0,0,0,0,1,0
50,25,1,1,9,9,6,5,11,3,3,0.6,24,104,146,1,0,0,0,0,1,0,0
51,55,1,1,14,5,3,3,6,3,3,0.6,8,162,201,1,0,0,0,1,0,0,0
52,38,0,1,44,14,8,5,13,3,0,0.5,20,137,218,0,1,0,0,0,0,1,0
53,60,0,1,26,13,1,0,1,0,0,0.2,2,170,222,0,1,0,1,0,0,0,0
54,59,0,1,44,9,4,8,12,1,2,0.2,24,56,125,1,0,0,0,0,0,1,0
55,43,2,0,10,3,9,9,18,3,0,0.4,19,69,94,0,1,0,0,1,0,0,0
56,56,2,0,32,13,1,1,2,0,2,0.3,23,112,174,0,0,1,0,0,1,0,0
57,32,1,1,5,14,1,6,7,1,2,0.3,5,147,187,0,1,0,0,0,0,1,0
58,24,0,1,58,13,2,2,4,5,2,0.7,13,103,206,1,0,0,1,0,0,0,0
59,22,0,0,19,12,5,4,9,4,2,0.5,17,128,187,0,1,0,0,1,0,0,0
60,34,2,1,58,4,5,10,15,3,2,0.1,4,88,167,0,0,1,0,0,0,1,0
